pick_ts_utc,fixture_id,date,league_id,season,sport_key,home,away,recommended_market,recommended_side,recommended_book,recommended_price,model_prob,implied_prob,fair_odds,edge_pp,edge_pct,best_EV,kelly_best,stake,odds_source,status,result,pnl_units,closed_at_utc
2025-10-16T13:09:02Z,1388362,2025-10-18 16:30:00+00:00,78,2025,soccer_germany_bundesliga,Bayern München,Borussia Dortmund,1X2,Away,Betano,8.0,0.8741874920674323,0.125,1.1439193640657386,74.91874920674323,5.993499936539458,5.993499936539458,0.2140535691621235,21.41,apifootball,open,,,
2025-10-16T13:09:02Z,1388367,2025-10-18 13:30:00+00:00,78,2025,soccer_germany_bundesliga,RB Leipzig,Hamburger SV,1X2,Draw,Unibet,5.25,0.8682350674246786,0.1904761904761904,1.1517618183358531,67.77588769484882,3.5582341039795624,3.5582341039795624,0.209307888469386,20.93,apifootball,open,,,
2025-10-16T13:09:02Z,1390901,2025-10-18 14:15:00+00:00,140,2025,soccer_spain_la_liga,Barcelona,Girona,1X2,Away,Betano,16.0,0.266719151706816,0.0625,3.7492620743606127,20.421915170681604,3.2675064273090566,3.2675064273090566,0.0544584404551509,5.45,apifootball,open,,,
2025-10-16T13:09:02Z,1390900,2025-10-18 19:00:00+00:00,140,2025,soccer_spain_la_liga,Atletico Madrid,Osasuna,1X2,Draw,Betano,4.85,0.8612541058194451,0.2061855670103093,1.161097512619164,65.50685388091357,3.1770824132243085,3.1770824132243085,0.2063040528067732,20.63,apifootball,open,,,
2025-10-16T13:09:02Z,1388372,2025-10-26 14:30:00+00:00,78,2025,soccer_germany_bundesliga,Bayer Leverkusen,SC Freiburg,1X2,Draw,1xBet,4.3,0.9247979804466964,0.2325581395348837,1.081317240244166,69.22398409118128,2.9766313159207947,2.9766313159207947,0.225502372418242,22.55,apifootball,open,,,
2025-10-16T13:09:02Z,1390904,2025-10-19 19:00:00+00:00,140,2025,soccer_spain_la_liga,Getafe,Real Madrid,1X2,Home,Unibet,9.0,0.4380685718049196,0.1111111111111111,2.2827476435477307,32.695746069380846,2.942617146244276,2.9426171462442765,0.0919567858201336,9.2,apifootball,open,,,
2025-10-16T13:09:02Z,1379044,2025-10-18 14:00:00+00:00,39,2025,soccer_epl,Manchester City,Everton,1X2,Away,Unibet,8.0,0.482057301577016,0.125,2.0744421808954483,35.7057301577016,2.8564584126161283,2.8564584126161283,0.1020163718791474,10.2,apifootball,open,,,
2025-10-16T13:09:02Z,1379039,2025-10-18 14:00:00+00:00,39,2025,soccer_epl,Brighton,Newcastle,1X2,Draw,Unibet,3.55,0.9938523889034244,0.2816901408450704,1.006185637993343,71.21622480583538,2.5281759806071564,2.528175980607156,0.2478603902556035,24.79,apifootball,open,,,
2025-10-16T13:09:02Z,1388369,2025-10-17 18:30:00+00:00,78,2025,soccer_germany_bundesliga,Union Berlin,Borussia Mönchengladbach,1X2,Draw,Unibet,3.45,0.9771355654061928,0.2898550724637681,1.023399449782899,68.72804929424248,2.3711177006513657,2.3711177006513653,0.2419507857807515,24.2,apifootball,open,,,
2025-10-16T13:09:02Z,1388374,2025-10-25 16:30:00+00:00,78,2025,soccer_germany_bundesliga,Borussia Dortmund,1.FC Köln,1X2,Away,Bet365,6.5,0.5142243392564709,0.1538461538461538,1.9446765227914409,36.037818541031704,2.342458205167061,2.342458205167061,0.1064753729621391,10.65,apifootball,open,,,
2025-10-16T13:09:02Z,1390902,2025-10-19 14:15:00+00:00,140,2025,soccer_spain_la_liga,Celta Vigo,Real Sociedad,1X2,Draw,Unibet,3.35,0.9909396928568702,0.2985074626865671,1.0091431468619538,69.2432230170303,2.3196479710705153,2.3196479710705153,0.2467710607521824,24.68,apifootball,open,,,
2025-10-16T13:09:02Z,1379056,2025-10-25 16:30:00+00:00,39,2025,soccer_epl,Manchester United,Brighton,1X2,Draw,1xBet,3.68,0.8602937868659074,0.2717391304347826,1.1623936093308882,58.85546564311248,2.1658811356665395,2.1658811356665395,0.2020411507151622,20.2,apifootball,open,,,
2025-10-16T13:09:02Z,1379053,2025-10-25 14:00:00+00:00,39,2025,soccer_epl,Chelsea,Sunderland,1X2,Draw,Bet365,4.75,0.6159927396299564,0.2105263157894736,1.6233957572303974,40.54664238404827,1.9259655132422924,1.9259655132422928,0.1283977008828195,12.84,apifootball,open,,,
2025-10-16T13:09:02Z,1388377,2025-10-25 13:30:00+00:00,78,2025,soccer_germany_bundesliga,1899 Hoffenheim,1. FC Heidenheim,1X2,Draw,1xBet,4.0,0.7173776733378953,0.25,1.3939658804086943,46.73776733378953,1.869510693351581,1.869510693351581,0.1557925577792984,15.58,apifootball,open,,,
2025-10-16T13:09:02Z,1390903,2025-10-19 12:00:00+00:00,140,2025,soccer_spain_la_liga,Elche,Athletic Club,1X2,Draw,Unibet,3.2,0.8745206209040666,0.3125,1.1434836138754678,56.202062090406656,1.7984659868930133,1.7984659868930133,0.204371134874206,20.44,apifootball,open,,,
